ID,Name,Birth Year,Death Year,Country,Work,Instrumentation,Link
1,"Aubéry du Boulley, Prudent Louis",1796,1870,,"1er et 2nd Quadrilles de Contredanses et Walses, Op.35 (Aubéry du Boulley, Prudent Louis)","guitar, piano",https://imslp.org/wiki/1er_et_2nd_Quadrilles_de_Contredanses_et_Walses%2C_Op.35_(Aub%C3%A9ry_du_Boulley%2C_Prudent_Louis)
2,"Aubéry du Boulley, Prudent Louis",1796,1870,,"2nd Recueil de Contredanses pour 2 Guitares, Op.75 (Aubéry du Boulley, Prudent Louis)",2 guitars,https://imslp.org/wiki/2nd_Recueil_de_Contredanses_pour_2_Guitares%2C_Op.75_(Aub%C3%A9ry_du_Boulley%2C_Prudent_Louis)
3,"Sötemann, Christian H.",,,,"The 2nd Rest (Sötemann, Christian H.)",guitar,https://imslp.org/wiki/The_2nd_Rest_(S%C3%B6temann%2C_Christian_H.)
4,"Aubéry du Boulley, Prudent Louis",1796,1870,,"3ème Recueil de Contredanses pour 2 Guitares, Op.77 (Aubéry du Boulley, Prudent Louis)",2 guitars,https://imslp.org/wiki/3%C3%A8me_Recueil_de_Contredanses_pour_2_Guitares%2C_Op.77_(Aub%C3%A9ry_du_Boulley%2C_Prudent_Louis)
5,"Trombini, Maurizio Massimo Jabres",,,,"4th Blues (Trombini, Maurizio Massimo Jabres)","tenor saxophone (B♭), guitar, bass",https://imslp.org/wiki/4th_Blues_(Trombini%2C_Maurizio_Massimo_Jabres)
6,"Ludenhoff, Martin",,,,"7:40 (Ludenhoff, Martin)",2 guitars,https://imslp.org/wiki/7:40_(Ludenhoff%2C_Martin)
7,"Hagiu, Stefan",,,,"21st Century Nocturnes, Op.1 (Hagiu, Stefan)",guitar,https://imslp.org/wiki/21st_Century_Nocturnes%2C_Op.1_(Hagiu%2C_Stefan)
8,"Versluis, Tyler",,,,"23 (Versluis, Tyler)",2 guitars,https://imslp.org/wiki/23_(Versluis%2C_Tyler)
9,"Day, E. R.",1866,,,"42nd Regiment March (Day, E. R.)",guitar,https://imslp.org/wiki/42nd_Regiment_March_(Day%2C_E._R.)
10,"Aramaki, Michio",,,,"66*4, Op.8b (Aramaki, Michio)","flute, alto flute, bass flute, guitar",https://imslp.org/wiki/66*4%2C_Op.8b_(Aramaki%2C_Michio)
11,"Aramaki, Michio",,,,"66*4, Op.8 (Aramaki, Michio)","guitar, 2 mandolins, mandola",https://imslp.org/wiki/66*4%2C_Op.8_(Aramaki%2C_Michio)
12,,,,,List of Compositions Featuring the Guitar/Lute,,https://imslp.org/wiki/List_of_Compositions_Featuring_the_Guitar%2FLute
13,"Hamilton, Jesse J.",,,,"""Trip-O-Let"" Dance (Hamilton, Jesse J.)",guitar,https://imslp.org/wiki/%22Trip-O-Let%22_Dance_(Hamilton%2C_Jesse_J.)
14,"Topete Galván, Luis",,,,"( ), Op.1 (Topete Galván, Luis)","guitar, piano",https://imslp.org/wiki/(_)%2C_Op.1_(Topete_Galv%C3%A1n%2C_Luis)
15,"Kurakina, Natalia",1766,1831,,"À ma cabanne (Kurakina, Natalia)","voice, guitar",https://imslp.org/wiki/%C3%80_ma_cabanne_(Kurakina%2C_Natalia)
16,"Pinto, Aloysio de Alencar",1911,2007,,"Abálogum (Pinto, Aloysio de Alencar)","voice, guitar",https://imslp.org/wiki/Ab%C3%A1logum_(Pinto%2C_Aloysio_de_Alencar)
17,"Denz, David",,,,"Abbots Bromley Horn Dance (Denz, David)",guitar (in DADGAD tuning),https://imslp.org/wiki/Abbots_Bromley_Horn_Dance_(Denz%2C_David)
18,"López, Joel Edgardo",,,,"ABC (López, Joel Edgardo)",3 guitars,https://imslp.org/wiki/ABC_(L%C3%B3pez%2C_Joel_Edgardo)
19,"Diabelli, Anton",1781,1858,,"Abend-Unterhaltungen für Csakan und Guitare (Diabelli, Anton)","csakan, guitar",https://imslp.org/wiki/Abend-Unterhaltungen_f%C3%BCr_Csakan_und_Guitare_(Diabelli%2C_Anton)
20,"Busch, J.G.",1793,1871,,"Abendsterne (Busch, J.G.)","flute (or violin), guitar",https://imslp.org/wiki/Abendsterne_(Busch%2C_J.G.)
21,"Diabelli, Anton",1781,1858,,"Abendunterhaltungen 2. Heft (Diabelli, Anton)","csakan (recorder), guitar",https://imslp.org/wiki/Abendunterhaltungen_2._Heft_(Diabelli%2C_Anton)
22,"Sapozhnikov, Aleksandr",,,,"Above the Clouds (Sapozhnikov, Aleksandr)",Guitar,https://imslp.org/wiki/Above_the_Clouds_(Sapozhnikov%2C_Aleksandr)
23,"Schulz, Rainer",,,,"Abre me los ojos (Schulz, Rainer)","voice, guitar",https://imslp.org/wiki/Abre_me_los_ojos_(Schulz%2C_Rainer)
24,"Lemoine, Antoine Marcel",1763,1817,,"Abrégé des principes de la lyre ou guitarre à six cordes (Lemoine, Antoine Marcel)",guitar,https://imslp.org/wiki/Abr%C3%A9g%C3%A9_des_principes_de_la_lyre_ou_guitarre_%C3%A0_six_cordes_(Lemoine%2C_Antoine_Marcel)
25,Various,,,,Der Abschied der Troubadours (Various),"voice, piano, guitar, violin",https://imslp.org/wiki/Der_Abschied_der_Troubadours_(Various)
