ID,Name,Birth Year,Death Year,Country,Work,Instrumentation,Link
1,"Aa, Michel van der",1970,,The Netherlands,Auburn,Guitar with Fixed Media: guitar - tape,https://www.sheerpluck.de/composition-6053-23-michel-van-der-aa-auburn
2,"Aa, Michel van der",1970,,The Netherlands,Dormant,"Chamber Music: clarinet, guitar, violoncello",https://www.sheerpluck.de/composition-6054-23-michel-van-der-aa-dormant
3,"Aaquist, Svend",1948,,Denmark,Danse til Romeo og Julie,"Ensemble: flute, recorder (3), percussion (2), guitar (3), violoncello",https://www.sheerpluck.de/composition-16167-190-svend-aaquist-danse-til-romeo-og-julie
4,"Aaquist, Svend",1948,,Denmark,Historien om Malinche,Orchestra: reciter - 4.recs.0.2.2sax.0 - 2.2barhn.4.3.2 - 4perc-2bgtr-pft-gtrs - vlns,https://www.sheerpluck.de/composition-16170-190-svend-aaquist-historien-om-malinche
5,"Aaquist, Svend",1948,,Denmark,Kantate Energien,"Chamber Music: reciter, soprano (=electric organ) - flute, percussion, alto guitar or lute (amplified)",https://www.sheerpluck.de/composition-16165-190-svend-aaquist-kantate-energien
6,"Aaquist, Svend",1948,,Denmark,Malinche - En symfonisk fortælling,Orchestra: reciter - 3.3.3.3 - 4.2.3.1 - 3perc-hrp-pft-2gtr - strgs,https://www.sheerpluck.de/composition-16171-190-svend-aaquist-malinche-en-symfonisk-fortaelling
7,"Aaquist, Svend",1948,,Denmark,Morgensange i kirsebærhaven,"Chamber Music: soprano, baritone - alto flute, guitar, piano",https://www.sheerpluck.de/composition-16169-190-svend-aaquist-morgensange-i-kirsebaerhaven
8,"Aaquist, Svend",1948,,Denmark,Scenemusik til Romeo og Julie,"Incidental and Film: flute, recorder (3), percussion (2), guitar (3), violoncello - tape",https://www.sheerpluck.de/composition-16168-190-svend-aaquist-scenemusik-til-romeo-og-julie
9,"Aaquist, Svend",1948,,Denmark,Tuans sange,"Ensemble: soprano - trumpet, tuba (2), percussion, piano, guitar, double bass",https://www.sheerpluck.de/composition-16166-190-svend-aaquist-tuans-sange
10,"Abate, Rocco",1950,,Italy,Danze per Veronica,"Chamber Music: flute, clarinet, piano, guitar, violin, violoncello",https://www.sheerpluck.de/composition-57627-191-rocco-abate-danze-per-veronica
11,"Abate, Rocco",1950,,Italy,Voci,Quartet,https://www.sheerpluck.de/composition-14982-191-rocco-abate-voci
12,"Abazis, Theo",1967,,Greece,Look at me,"Ensemble: actor (8) - drum kit, electric guitar, electric bass - synthetic sounds",https://www.sheerpluck.de/composition-20197-192-theo-abazis-look-at-me
13,"Abazis, Theo",1967,,Greece,Pas de deux,"Chamber Music: alto saxophone, guitar",https://www.sheerpluck.de/composition-20196-192-theo-abazis-pas-de-deux
14,"Abbasi, Anahita",1985,,Iran,Ahou,"Chamber Music: mezzo-soprano - pan flute, harp, guitar",https://www.sheerpluck.de/composition-71989-15013-anahita-abbasi-ahou
15,"Abbé, Robert",,,Germany,Come Back,Plucked Instruments,https://www.sheerpluck.de/composition-85928-17087-robert-abbe-come-back
16,"Abbé, Robert",,,Germany,Jubilarion,Plucked Instruments,https://www.sheerpluck.de/composition-85927-17087-robert-abbe-jubilarion
17,"Abbinanti, Frank",1949,,USA,BP Gulf,"Ensemble: baritone saxophone, double bass clarinet, vibraphone, piano, toy piano, accordion, electric guitar, violoncello, double bass",https://www.sheerpluck.de/composition-86211-6165-frank-abbinanti-bp-gulf
18,"Abbinanti, Frank",1949,,USA,framed,Bass Guitar Solo,https://www.sheerpluck.de/composition-33642-6165-frank-abbinanti-framed
19,"Abbinanti, Frank",1949,,USA,GLUT 2003,"Ensemble: female voice - flute, piano, double bass (or bass guitar) - tape, film",https://www.sheerpluck.de/composition-18890-6165-frank-abbinanti-glut-2003
20,"Abbott, Alain A.",1938,,France,Electrique II,"Chamber Music: vibraphone, accordion, electric guitar",https://www.sheerpluck.de/composition-18406-3010-alain-a-abbott-electrique-ii
21,"Abbott, Katy",1971,,Australia,Eyes,Chorus and Guitar: SSA chorus - guitar,https://www.sheerpluck.de/composition-33598-8623-katy-abbott-eyes
22,"Abbott, Katy",1971,,Australia,Midnight Songs,"Chamber Music: fluegelhorn, trombone, guitar",https://www.sheerpluck.de/composition-68373-8623-katy-abbott-midnight-songs
23,"Abbott, Katy",1971,,Australia,UndercurrenT II,"Chamber Music: trumpet, trombone, electric guitar",https://www.sheerpluck.de/composition-87319-8623-katy-abbott-undercurrent-ii
24,"Abbott, M.O.",,,USA,Ascension Tube,"Chamber Music: alto saxophone, percussion, electronic piano, electric guitar, viola, double bass",https://www.sheerpluck.de/composition-73372-15249-mo-abbott-ascension-tube
25,"Abdelwahab Abdelfattah, Mohamed",1962,,Egypt,El-kholkhal,"Dance/Ballet: dancer (5) - flute (2), bass clarinet, bassoon, horn, trumpet, percussion (2), guitar, strings (13)",https://www.sheerpluck.de/composition-33643-8638-mohamed-abdelwahab-abdelfattah-el-kholkhal
26,"Abdelwahab Abdelfattah, Mohamed",1962,,Egypt,Qasr Elshoq,"Incidental and Film: guitar - piccolo, flute, clarinet (2), bassoon (2), trumpet, vibraphone, riqq, violin (14), violoncello (4), double basses (2)",https://www.sheerpluck.de/composition-33644-8638-mohamed-abdelwahab-abdelfattah-qasr-elshoq
27,"Abdyssagin, Rakhat-Bi",1999,,Kasachstan,Painting in Sounds,"Chamber Music: flute, vibraphone, guitar",https://www.sheerpluck.de/composition-72938-15176-rakhat-bi-abdyssagin-painting-in-sounds
28,"Abdyssagin, Rakhat-Bi",1999,,Kasachstan,The Shadow of Alhambra,Solo,https://www.sheerpluck.de/composition-72875-15176-rakhat-bi-abdyssagin-the-shadow-of-alhambra
29,"Abe, Yasuo",,,Japan,Kojono,Solo,https://www.sheerpluck.de/composition-50254-11323-yasuo-abe-kojono
30,"Abecassis, Eryck",1956,,France,Horde,Guitar Ensemble: electric guitar (8),https://www.sheerpluck.de/composition-15695-13-eryck-abecassis-horde
31,"Abecassis, Eryck",1956,,France,Kloch!,"Installation/Sound Environment: musician (150), electric guitar (40), prepared bell-tower (5), tuned car (5), actor (3), radio drone",https://www.sheerpluck.de/composition-57615-13-eryck-abecassis-kloch
32,"Abecassis, Eryck",1956,,France,Safety First,"Stage Work: soprano, free vocalist - drum kit, electric guitar - electronics",https://www.sheerpluck.de/composition-68386-13-eryck-abecassis-safety-first
33,"Abecassis, Eryck",1956,,France,WandG,Guitar with Electronics: electric guitar - laptop,https://www.sheerpluck.de/composition-57616-13-eryck-abecassis-wandg
34,"Abecassis, Eryck",1956,,France,Zeitlupe,"Chamber Music: flute, guitar, viola",https://www.sheerpluck.de/composition-24-13-eryck-abecassis-zeitlupe
35,"Abele, Alex Trescott",1969,,USA,Open Strings,"Chamber Music: slide guitar, guitar, violin, violoncello, double bass",https://www.sheerpluck.de/composition-12158-193-alex-trescott-abele-open-strings
