score,reasons,composer,work_a_id,work_a_title,work_a_sources,work_b_id,work_b_title,work_b_sources
1.3,"substring,cross-source","Villa-Lobos, Heitor",600580,Suite Populaire Bresilienne,sheerpluck|ds=1,600581,"Suite populaire brésilienne, W020 (Villa-Lobos, Heitor)",imslp|ds=2
1.186,"substring,same-instrumentation","Paganini, Niccolò",581134,"Guitar Sonata in A major, MS 84 No.1 (Paganini, Niccolò)",imslp|ds=2,581135,"Guitar Sonata in A major, MS 84 No.11 (Paganini, Niccolò)",imslp|ds=2
1.186,"substring,same-instrumentation","Paganini, Niccolò",581134,"Guitar Sonata in A major, MS 84 No.1 (Paganini, Niccolò)",imslp|ds=2,581136,"Guitar Sonata in A major, MS 84 No.12 (Paganini, Niccolò)",imslp|ds=2
1.186,"substring,same-instrumentation","Paganini, Niccolò",581134,"Guitar Sonata in A major, MS 84 No.1 (Paganini, Niccolò)",imslp|ds=2,581137,"Guitar Sonata in A major, MS 84 No.17 (Paganini, Niccolò)",imslp|ds=2
1.186,"substring,same-instrumentation","Paganini, Niccolò",581134,"Guitar Sonata in A major, MS 84 No.1 (Paganini, Niccolò)",imslp|ds=2,581138,"Guitar Sonata in A major, MS 84 No.18 (Paganini, Niccolò)",imslp|ds=2
1.186,"substring,same-instrumentation","Paganini, Niccolò",581139,"Guitar Sonata in A major, MS 84 No.2 (Paganini, Niccolò)",imslp|ds=2,581140,"Guitar Sonata in A major, MS 84 No.21 (Paganini, Niccolò)",imslp|ds=2
1.186,"substring,same-instrumentation","Paganini, Niccolò",581139,"Guitar Sonata in A major, MS 84 No.2 (Paganini, Niccolò)",imslp|ds=2,581141,"Guitar Sonata in A major, MS 84 No.23 (Paganini, Niccolò)",imslp|ds=2
1.186,"substring,same-instrumentation","Paganini, Niccolò",581139,"Guitar Sonata in A major, MS 84 No.2 (Paganini, Niccolò)",imslp|ds=2,581142,"Guitar Sonata in A major, MS 84 No.26 (Paganini, Niccolò)",imslp|ds=2
1.186,"substring,same-instrumentation","Paganini, Niccolò",581139,"Guitar Sonata in A major, MS 84 No.2 (Paganini, Niccolò)",imslp|ds=2,581143,"Guitar Sonata in A major, MS 84 No.27 (Paganini, Niccolò)",imslp|ds=2
1.186,"substring,same-instrumentation","Paganini, Niccolò",581152,"Guitar Sonata in C major, MS 84 No.3 (Paganini, Niccolò)",imslp|ds=2,581153,"Guitar Sonata in C major, MS 84 No.31 (Paganini, Niccolò)",imslp|ds=2
1.18,"substring,same-instrumentation","Ubach, Alberto",599073,Mexican Lottery Suite VI,sheerpluck|ds=1,599074,Mexican Lottery Suite VII,sheerpluck|ds=1
1.18,"substring,same-instrumentation","Ubach, Alberto",599074,Mexican Lottery Suite VII,sheerpluck|ds=1,599075,Mexican Lottery Suite VIII,sheerpluck|ds=1
1.179,"substring,same-instrumentation","Ubach, Alberto",599069,Mexican Lottery Suite I,sheerpluck|ds=1,599071,Mexican Lottery Suite IV,sheerpluck|ds=1
1.179,"substring,same-instrumentation","Ubach, Alberto",599072,Mexican Lottery Suite V,sheerpluck|ds=1,599073,Mexican Lottery Suite VI,sheerpluck|ds=1
1.177,"substring,same-instrumentation","Sagreras, Julio Salvador",589575,Sonatina - Estudio No.1,sheerpluck|ds=1,589576,Sonatina - Estudio No.10,sheerpluck|ds=1
1.177,"substring,same-instrumentation","Sagreras, Julio Salvador",589575,Sonatina - Estudio No.1,sheerpluck|ds=1,589577,Sonatina - Estudio No.11,sheerpluck|ds=1
1.176,"substring,same-instrumentation","Smorawinski, Witold",593818,Muzyka Głogowa Part I,sheerpluck|ds=1,593819,Muzyka Głogowa Part II,sheerpluck|ds=1
1.174,"substring,same-instrumentation","Marttinen, Tauno",573941,Tanssi-intermezzo I,sheerpluck|ds=1,573942,Tanssi-intermezzo II,sheerpluck|ds=1
1.173,"substring,same-instrumentation","Houghton, Mark",562224,Guitarchestra No. 1,sheerpluck|ds=1,562225,Guitarchestra No. 10,sheerpluck|ds=1
1.17,"substring,cross-source","Biagi, Manlio",536742,"La Mezzanotte, Op.87 (Biagi, Manlio)",imslp|ds=2,536747,Mezzanotte,sheerpluck|ds=1
1.166,"substring,same-instrumentation","Albert, Heinrich",531472,Hausmusik Nr. 1,sheerpluck|ds=1,531473,Hausmusik Nr. 10,sheerpluck|ds=1
1.166,"substring,same-instrumentation","Küffner, Joseph",568681,"Potpourri No.1, Op.86 (Küffner, Joseph)",imslp|ds=2,568686,"Potpourri No.14, Op.179 (Küffner, Joseph)",imslp|ds=2
1.166,"substring,same-instrumentation","Küffner, Joseph",568681,"Potpourri No.1, Op.86 (Küffner, Joseph)",imslp|ds=2,568687,"Potpourri No.15, Op.180 (Küffner, Joseph)",imslp|ds=2
1.166,"substring,same-instrumentation","Küffner, Joseph",568681,"Potpourri No.1, Op.86 (Küffner, Joseph)",imslp|ds=2,568688,"Potpourri No.16, Op.181 (Küffner, Joseph)",imslp|ds=2
1.166,"substring,same-instrumentation","Küffner, Joseph",568691,"Potpourri No.2, Op.88 (Küffner, Joseph)",imslp|ds=2,568692,"Potpourri No.20, Op.226 (Küffner, Joseph)",imslp|ds=2
1.166,"substring,same-instrumentation","Küffner, Joseph",568691,"Potpourri No.2, Op.88 (Küffner, Joseph)",imslp|ds=2,568693,"Potpourri No.21, Op.239 (Küffner, Joseph)",imslp|ds=2
1.166,"substring,same-instrumentation","Küffner, Joseph",568691,"Potpourri No.2, Op.88 (Küffner, Joseph)",imslp|ds=2,568694,"Potpourri No.22, Op.245 (Küffner, Joseph)",imslp|ds=2
